date,open,high,low,close,label
2018-01-19,24.6,25.34,24.42,25.13,24.4
2018-01-18,24.4,24.88,24.3,24.6,24.42
2018-01-17,24.42,24.92,23.8,24.6,23.4
2018-01-16,23.4,24.6,23.3,24.4,24.01
2018-01-15,24.01,24.23,23.3,23.43,23.7
2018-01-12,23.7,25.15,23.42,24.24,23.67
2018-01-11,23.67,23.85,23.21,23.67,24.1
2018-01-10,24.1,24.6,23.4,23.8,24.6
2018-01-09,24.6,24.78,23.82,23.96,24.12
2018-01-08,24.12,24.95,24.01,24.71,24.0
2018-01-05,24.0,25.4,23.7,24.51,22.79
2018-01-04,22.79,25.07,22.51,25.07,22.42
2018-01-03,22.42,22.83,22.18,22.79,22.3
2018-01-02,22.3,22.54,22.05,22.42,22.34
2017-12-29,22.34,22.46,22.02,22.31,22.23
2017-12-28,22.23,22.84,22.12,22.24,22.25
2017-12-27,22.25,22.57,21.8,22.13,21.73
2017-12-26,21.73,22.66,21.73,22.23,22.81
2017-12-25,22.81,22.93,21.11,21.51,23.21
2017-12-22,23.21,23.39,22.9,22.99,23.39
2017-12-21,23.39,23.5,22.86,23.21,23.61
2017-12-20,23.61,23.96,23.2,23.33,23.23
2017-12-19,23.23,23.66,23.23,23.46,23.0
2017-12-18,23.0,23.49,22.83,23.13,23.4
2017-12-15,23.4,23.4,22.85,23.0,23.65
2017-12-14,23.65,23.77,23.22,23.47,23.99
2017-12-13,23.99,24.38,23.6,23.81,22.61
2017-12-12,22.61,24.14,22.61,23.98,22.61
2017-12-11,22.61,22.94,22.5,22.75,22.4
2017-12-08,22.4,22.9,22.04,22.61,21.98
2017-12-07,21.98,22.48,21.92,22.26,21.66
2017-12-06,21.66,22.1,21.51,22.06,22.91
2017-12-05,22.91,23.26,21.65,21.7,23.91
2017-12-04,23.91,24.15,22.85,22.92,24.04
2017-12-01,24.04,24.49,24.04,24.18,24.37
2017-11-30,24.37,24.76,24.05,24.25,24.66
2017-11-29,24.66,24.8,23.96,24.29,24.01
2017-11-28,24.01,24.9,24.0,24.7,24.4
2017-11-27,24.4,24.95,24.01,24.21,24.1
2017-11-24,24.1,24.7,24.09,24.45,25.3
2017-11-23,25.3,25.43,23.98,24.03,25.21
2017-11-22,25.21,25.9,24.84,25.26,24.6
2017-11-21,24.6,25.98,24.56,25.28,25.55
2017-11-20,25.55,25.58,23.46,25.09,28.0
2017-11-17,28.0,28.15,25.91,26.08,28.1
2017-11-16,28.1,28.72,28.0,28.17,29.3
2017-11-15,29.3,29.3,28.3,28.46,28.0
2017-11-14,28.0,29.89,27.68,29.34,28.61
2017-11-13,28.61,29.23,28.09,28.25,28.78
2017-11-10,28.78,28.99,27.88,28.09,28.88
2017-11-09,28.88,29.09,27.76,28.37,28.8
2017-11-08,28.8,29.7,28.11,29.04,28.6
2017-11-07,28.6,29.37,28.42,28.98,28.67
2017-11-06,28.67,28.74,27.76,28.18,28.86
