date,open,high,low,close,volume,price_change,p_change,ma5,v_ma5
2018-01-19,24.6,25.34,24.42,25.13,128449.11,0.53,2.15,24.432,91838.07
2018-01-18,24.4,24.88,24.3,24.6,67435.14,0.01,0.04,24.254,90208.95
2018-01-17,24.42,24.92,23.8,24.6,92242.51,0.2,0.82,24.068,86427.08
2018-01-16,23.4,24.6,23.3,24.4,101295.42,0.96,4.1,23.908,82003.73
2018-01-15,24.01,24.23,23.3,23.43,69768.17,-0.8,-3.3,23.82,78179.81
2018-01-12,23.7,25.15,23.42,24.24,120303.53,0.56,2.37,24.076,86133.33
2018-01-11,23.67,23.85,23.21,23.67,48525.75,-0.12,-0.5,24.13,102925.87
2018-01-10,24.1,24.6,23.4,23.8,70125.79,-0.14,-0.58,24.41,119246.95
2018-01-09,24.6,24.78,23.82,23.96,82175.82,-0.76,-3.07,24.208,120159.21
2018-01-08,24.12,24.95,24.01,24.71,109535.76,0.2,0.82,23.9,112259.6
2018-01-05,24.0,25.4,23.7,24.51,204266.23,-0.56,-2.23,23.42,97543.6
2018-01-04,22.79,25.07,22.51,25.07,130131.15,2.28,10.0,22.966,67939.35
2018-01-03,22.42,22.83,22.18,22.79,74687.1,0.38,1.7,22.378,51770.82
2018-01-02,22.3,22.54,22.05,22.42,42677.76,0.12,0.54,22.266,49219.34
2017-12-29,22.34,22.46,22.02,22.31,35955.75,0.08,0.36,22.084,57897.75
2017-12-28,22.23,22.84,22.12,22.24,56245.01,0.11,0.5,22.22,56385.4
2017-12-27,22.25,22.57,21.8,22.13,49288.5,-0.11,-0.49,22.414,51937.5
2017-12-26,21.73,22.66,21.73,22.23,61929.7,0.72,3.35,22.654,50753.59
2017-12-25,22.81,22.93,21.11,21.51,86069.77,-1.47,-6.4,22.9,46981.39
2017-12-22,23.21,23.39,22.9,22.99,28394.0,-0.21,-0.91,23.224,35689.43
2017-12-21,23.39,23.5,22.86,23.21,34005.55,-0.11,-0.47,23.226,38699.06
